state_2019,constituency_id_2019,constituency_id,constituency_2019,party_2019,winner_2019,vote_share_2019,state_2024,constituency_id_2024,constituency_2024,party_2024,winner_2024,vote_share_2024,state,constituency,seat_flipped
Bihar,BIHAR__MADHEPURA,BIHAR__MADHEPURA,Madhepura,JDU,Dinesh Chandra Yadav,54.41890951943476,Bihar,BIHAR__MADHEPURA,Madhepura,JDU,DINESH CHANDRA YADAV,52.95954765457409,Bihar,Madhepura,False
Bihar,BIHAR__MADHUBANI,BIHAR__MADHUBANI,Madhubani,BJP,ASHOK KUMAR YADAV,61.82816786827545,Bihar,BIHAR__MADHUBANI,Madhubani,BJP,ASHOK KUMAR YADAV,53.84965671850917,Bihar,Madhubani,False
Bihar,BIHAR__MAHARAJGANJ,BIHAR__MAHARAJGANJ,Maharajganj,BJP,"Janardan Singh 'Sigriwal""",56.1684296234308,Bihar,BIHAR__MAHARAJGANJ,Maharajganj,BJP,"JANARDAN SINGH ""SIGRIWAL""",52.21657632463571,Bihar,Maharajganj,False
Bihar,BIHAR__MUNGER,BIHAR__MUNGER,Munger,JDU,RAJIV RANJAN SINGH ALIAS LALAN SINGH,51.02560341533271,Bihar,BIHAR__MUNGER,Munger,JDU,RAJIV RANJAN SINGH ALIAS LALAN SINGH,48.29735549974058,Bihar,Munger,False
Bihar,BIHAR__MUZAFFARPUR,BIHAR__MUZAFFARPUR,Muzaffarpur,BJP,Ajay Nishad,63.02682390656336,Bihar,BIHAR__MUZAFFARPUR,Muzaffarpur,BJP,RAJ BHUSHAN CHOUDHARY,55.70977832910846,Bihar,Muzaffarpur,False
Bihar,BIHAR__NALANDA,BIHAR__NALANDA,Nalanda,JDU,Kaushlendra Kumar,52.4479145455286,Bihar,BIHAR__NALANDA,Nalanda,JDU,KAUSHALENDRA KUMAR,48.88415853783218,Bihar,Nalanda,False
Bihar,BIHAR__NAWADA,BIHAR__NAWADA,Nawada,LJP,Chandan Singh,52.59458736797876,Bihar,BIHAR__NAWADA,Nawada,BJP,VIVEK THAKUR,47.20337521698645,Bihar,Nawada,True
Bihar,BIHAR__PASCHIM_CHAMPARAN,BIHAR__PASCHIM_CHAMPARAN,Paschim Champaran,BJP,DR. SANJAY JAISWAL,59.599619324419315,Bihar,BIHAR__PASCHIM_CHAMPARAN,Paschim Champaran,BJP,DR.SANJAY JAISWAL,53.43316860850481,Bihar,Paschim Champaran,False
Bihar,BIHAR__PATALIPUTRA,BIHAR__PATLIPUTRA,Pataliputra,BJP,RAM KRIPAL YADAV,47.27974695406815,Bihar,BIHAR__PATLIPUTRA,Patliputra,RJD,MISHA BHARTI,49.85639367237921,Bihar,Patliputra,True
Bihar,BIHAR__PATNA_SAHIB,BIHAR__PATNA_SAHIB,Patna Sahib,BJP,RAVI SHANKAR PRASAD,61.84620553098134,Bihar,BIHAR__PATNA_SAHIB,Patna Sahib,BJP,RAVI SHANKAR PRASAD,54.69755350089633,Bihar,Patna Sahib,False
Bihar,BIHAR__PURNIA,BIHAR__PURNIA,Purnia,JDU,SANTOSH KUMAR,54.84895228521414,Bihar,BIHAR__PURNIA,Purnia,IND,RAJESH RANJAN ALIAS PAPPU YADAV,47.46070557698162,Bihar,Purnia,True
Bihar,BIHAR__PURVI_CHAMPARAN,BIHAR__PURVI_CHAMPARAN,Purvi Champaran,BJP,RADHA MOHAN SINGH,57.81338803281969,Bihar,BIHAR__PURVI_CHAMPARAN,Purvi Champaran,BJP,RADHA MOHAN SINGH,50.49818941815499,Bihar,Purvi Champaran,False
Bihar,BIHAR__SAMASTIPUR_(SC),BIHAR__SAMASTIPUR,Samastipur (SC),LJP,Ramchandra Paswan,55.19422977846471,Bihar,BIHAR__SAMASTIPUR,Samastipur,LJPRV,SHAMBHAVI,52.96822925802491,Bihar,Samastipur,True
Bihar,BIHAR__SARAN,BIHAR__SARAN,Saran,BJP,Rajiv Pratap Rudy,53.01966024050391,Bihar,BIHAR__SARAN,Saran,BJP,RAJIV PRATAP RUDY,46.18191928012311,Bihar,Saran,False
Bihar,BIHAR__SASARAM_(SC),BIHAR__SASARAM,Sasaram (SC),BJP,CHHEDI PASWAN,50.761785854614885,Bihar,BIHAR__SASARAM,Sasaram,INC,MANOJ KUMAR,46.76106920675432,Bihar,Sasaram,True
Bihar,BIHAR__SHEOHAR,BIHAR__SHEOHAR,Sheohar,BJP,RAMA DEVI,60.59156306399126,Bihar,BIHAR__SHEOHAR,Sheohar,JDU,LOVELY ANAND,45.15072915739076,Bihar,Sheohar,True
Bihar,BIHAR__SITAMARHI,BIHAR__SITAMARHI,Sitamarhi,JDU,Sunil Kumar Pintu,54.65134971492488,Bihar,BIHAR__SITAMARHI,Sitamarhi,JDU,DEVESH CHANDRA THAKUR,47.14102114092242,Bihar,Sitamarhi,False
Bihar,BIHAR__SIWAN,BIHAR__SIWAN,Siwan,JDU,Kavita Singh,45.53903798702288,Bihar,BIHAR__SIWAN,Siwan,JDU,VIJAYLAKSHMI DEVI,38.727558019995634,Bihar,Siwan,False
Bihar,BIHAR__SUPAUL,BIHAR__SUPAUL,Supaul,JDU,Dileshwar Kamait,53.778746044535275,Bihar,BIHAR__SUPAUL,Supaul,JDU,DILESHWAR KAMAIT,48.33329813485997,Bihar,Supaul,False
Bihar,BIHAR__UJIARPUR,BIHAR__UJIARPUR,Ujiarpur,BJP,Nityanand Rai,56.11420388658019,Bihar,BIHAR__UJIARPUR,Ujiarpur,BJP,NITYANAND RAI,49.513563414287745,Bihar,Ujiarpur,False
Bihar,BIHAR__VAISHALI,BIHAR__VAISHALI,Vaishali,LJP,Veena Devi (W/o Dinesh Prasad Singh),52.870488401738115,Bihar,BIHAR__VAISHALI,Vaishali,LJPRV,VEENA DEVI,48.38003173898947,Bihar,Vaishali,True
Bihar,BIHAR__VALMIKI_NAGAR,BIHAR__VALMIKI_NAGAR,Valmiki Nagar,JDU,BAIDYANATH PRASAD MAHTO,58.39219447916364,Bihar,BIHAR__VALMIKI_NAGAR,Valmiki Nagar,JDU,SUNIL KUMAR,47.50478748990316,Bihar,Valmiki Nagar,False
Chandigarh,CHANDIGARH__CHANDIGARH,CHANDIGARH__CHANDIGARH,CHANDIGARH,BJP,KIRRON KHER,50.636049832664575,Chandigarh,CHANDIGARH__CHANDIGARH,Chandigarh,INC,MANISH TEWARI,48.223693728785264,Chandigarh,Chandigarh,True
Chhattisgarh,CHHATTISGARH__BASTAR,CHHATTISGARH__BASTAR,BASTAR,INC,DEEPAK BAIJ,44.09582777379755,Chhattisgarh,CHHATTISGARH__BASTAR,BASTAR,BJP,MAHESH KASHYAP,45.50330307376947,Chhattisgarh,BASTAR,True
Chhattisgarh,CHHATTISGARH__BILASPUR,CHHATTISGARH__BILASPUR,BILASPUR,BJP,ARUN SAO,52.46743518042324,Chhattisgarh,CHHATTISGARH__BILASPUR,BILASPUR,BJP,TOKHAN SAHU,53.25133139897895,Chhattisgarh,BILASPUR,False
Chhattisgarh,CHHATTISGARH__DURG,CHHATTISGARH__DURG,DURG,BJP,VIJAY BAGHEL,61.018422466731224,Chhattisgarh,CHHATTISGARH__DURG,DURG,BJP,VIJAY BAGHEL,61.9979945384554,Chhattisgarh,DURG,False
Chhattisgarh,CHHATTISGARH__JANJGIR-CHAMPA,CHHATTISGARH__JANJGIR-CHAMPA,JANJGIR-CHAMPA,BJP,GUHARAM AJGALLEY,45.90950987857171,Chhattisgarh,CHHATTISGARH__JANJGIR-CHAMPA,JANJGIR-CHAMPA,BJP,KAMLESH JANGDE,48.71279377118888,Chhattisgarh,JANJGIR-CHAMPA,False
Chhattisgarh,CHHATTISGARH__KANKER,CHHATTISGARH__KANKER,KANKER,BJP,MOHAN MANDAVI,47.12183389651249,Chhattisgarh,CHHATTISGARH__KANKER,KANKER,BJP,BHOJRAJ NAG,47.22698784364828,Chhattisgarh,KANKER,False
Chhattisgarh,CHHATTISGARH__KORBA,CHHATTISGARH__KORBA,KORBA,INC,JYOTSNA CHARANDAS MAHANT,46.02943259011543,Chhattisgarh,CHHATTISGARH__KORBA,KORBA,INC,JYOTSNA CHARANDAS MAHANT,46.53357958333911,Chhattisgarh,KORBA,False
Chhattisgarh,CHHATTISGARH__MAHASAMUND,CHHATTISGARH__MAHASAMUND,MAHASAMUND,BJP,CHUNNI LAL SAHU,50.44280005072259,Chhattisgarh,CHHATTISGARH__MAHASAMUND,MAHASAMUND,BJP,ROOP KUMARI CHOUDHARY,53.06308819980695,Chhattisgarh,MAHASAMUND,False
Chhattisgarh,CHHATTISGARH__RAIGARH,CHHATTISGARH__RAIGARH,RAIGARH,BJP,GOMATI SAI,48.76107676035682,Chhattisgarh,CHHATTISGARH__RAIGARH,RAIGARH,BJP,RADHESHYAM RATHIYA,55.629351016714104,Chhattisgarh,RAIGARH,False
