state,constituency_id,constituency_x,actual_winner,actual_party,actual_vote_share,constituency_y,sim_winner,sim_party,sim_vote_share,sim_alliance,flipped,volatility_score,top2_margin_pct,effective_num_parties
Karnataka,KARNATAKA__UTTARA_KANNADA,Uttara Kannada,VISHWESHWAR HEGDE KAGERI,BJP,61.966991378416026,Uttara Kannada,VISHWESHWAR HEGDE KAGERI,BJP,61.966991378416026,NDA,False,12.618857119597084,26.721446101043668,1.9672109505776496
Uttarakhand,UTTARAKHAND__GARHWAL,Garhwal,ANIL BALUNI,BJP,58.60331339474472,Garhwal,ANIL BALUNI,BJP,58.603313394744724,NDA,False,12.42918327110766,22.17197269981868,2.098426616575091
West Bengal,WEST_BENGAL__DIAMOND_HARBOUR,Diamond harbour,ABHISHEK BANERJEE,AITC,68.47519984426617,Diamond harbour,ABHISHEK BANERJEE,AITC,69.62706452165787,INDIA,False,12.412710897332127,46.44121407065639,1.919505735156018
Kerala,KERALA__WAYANAD,Wayanad,RAHUL GANDHI,INC,59.69144048834051,Wayanad,RAHUL GANDHI,INC,59.69144048834051,INDIA,False,12.322860953858102,33.59802628121621,2.2657700188437566
Rajasthan,RAJASTHAN__CHITTORGARH,CHITTORGARH,CHANDRA PRAKASH JOSHI,BJP,59.26352459043739,CHITTORGARH,CHANDRA PRAKASH JOSHI,BJP,59.26352459043739,NDA,False,12.31962754548065,26.013772966899374,2.160817039532247
Uttar Pradesh,UTTAR_PRADESH__RAE_BARELI,Rae Bareli,RAHUL GANDHI,INC,66.1697871189807,Rae Bareli,RAHUL GANDHI,INC,67.84826981715221,INDIA,False,12.29042860849508,37.53106900470449,1.9212871422506983
Andhra Pradesh,ANDHRA_PRADESH__VIJAYAWADA,Vijayawada,KESINENI SIVANATH (CHINNI),TDP,58.2051516961606,Vijayawada,KESINENI SIVANATH (CHINNI),TDP,58.2051516961606,NDA,False,12.267034924441234,20.674579761874227,2.0830598003224323
Assam,ASSAM__SILCHAR,Silchar,PARIMAL SUKLABAIDYA,BJP,59.885205603684874,Silchar,PARIMAL SUKLABAIDYA,BJP,59.885205603684874,NDA,False,12.08070414438911,24.261491831478224,2.0573297456235355
Himachal Pradesh,HIMACHAL_PRADESH__KANGRA,KANGRA,DR RAJEEV BHARDWAJ,BJP,61.02927277146175,KANGRA,DR RAJEEV BHARDWAJ,BJP,61.02927277146175,NDA,False,11.891311291017637,24.293834895087898,1.9703890068279912
Maharashtra,MAHARASHTRA__KALYAN,Kalyan,DR SHRIKANT EKNATH SHINDE,SHS,56.38478545254251,Kalyan,DR SHRIKANT EKNATH SHINDE,SHS,55.8265202500421,NDA,False,11.83315108808224,19.999693995425233,2.217604427802873
Tripura,TRIPURA__TRIPURA_WEST,Tripura West,BIPLAB KUMAR DEB,BJP,72.84959857299789,Tripura West,BIPLAB KUMAR DEB,BJP,72.84959857299789,NDA,False,11.77616121314205,50.55161599888909,1.721805117566408
Madhya Pradesh,MADHYA_PRADESH__SHAHDOL,SHAHDOL,SMT. HIMADRI SINGH,BJP,61.7304665832764,SHAHDOL,SMT. HIMADRI SINGH,BJP,61.7304665832764,NDA,False,11.76494446424893,34.49093022387768,2.186723375085584
Kerala,KERALA__MALAPPURAM,Malappuram,E.T. MOHAMMED BASHEER,IUML,59.345436986606856,Malappuram,E.T. MOHAMMED BASHEER,IUML,59.345436986606856,UNKNOWN,False,11.670878538227935,27.65600608930115,2.179401893402265
Jharkhand,JHARKHAND__JAMSHEDPUR,Jamshedpur,BIDYUT BARAN MAHATO,BJP,56.837626572346124,Jamshedpur,BIDYUT BARAN MAHATO,BJP,56.837626572346124,NDA,False,11.45527621533498,20.333132701277137,2.1902733421214164
Rajasthan,RAJASTHAN__JHALAWAR-BARAN,JHALAWAR-BARAN,DUSHYANT SINGH,BJP,60.88490295363993,JHALAWAR-BARAN,DUSHYANT SINGH,BJP,60.88490295363993,NDA,False,11.436117235475727,26.10152033551649,2.0323979313995943
Madhya Pradesh,MADHYA_PRADESH__TIKAMGARH,TIKAMGARH,DR. VIRENDRA KUMAR,BJP,65.09982792997023,TIKAMGARH,DR. VIRENDRA KUMAR,BJP,65.09982792997022,NDA,False,11.423176714036,36.71846976028551,1.978133888999967
Andhra Pradesh,ANDHRA_PRADESH__GUNTUR,Guntur,DR CHANDRA SEKHAR PEMMASANI,TDP,60.682306571411935,Guntur,DR CHANDRA SEKHAR PEMMASANI,TDP,60.682306571411935,NDA,False,11.199520490955935,24.182826786850583,1.9938175718908335
Telangana,TELANGANA__HYDERABAD,Hyderabad,ASADUDDIN OWAISI,AIMIM,61.276154190779806,Hyderabad,ASADUDDIN OWAISI,AIMIM,61.276154190779806,UNKNOWN,False,11.084341213804276,31.294963362843003,2.1318650482790256
Madhya Pradesh,MADHYA_PRADESH__BETUL,BETUL,DURGADAS (D. D.) UIKEY,BJP,60.761020615750496,BETUL,DURGADAS (D. D.) UIKEY,BJP,60.76102061575048,NDA,False,11.078955592184098,27.203120299136124,2.072530757288361
Gujarat,GUJARAT__KACHCHH,Kachchh,CHAVDA VINOD LAKHAMSHI,BJP,60.22643328764734,Kachchh,CHAVDA VINOD LAKHAMSHI,BJP,60.22643328764735,NDA,False,11.049479025760093,24.54278245037013,2.0390240803084643
Uttarakhand,UTTARAKHAND__ALMORA,Almora,AJAY TAMTA,BJP,64.19879221597105,Almora,AJAY TAMTA,BJP,64.19879221597105,NDA,False,10.96183347919898,35.018406963681215,2.0066095170827816
Gujarat,GUJARAT__CHHOTA_UDAIPUR,Chhota Udaipur,JASHUBHAI BHILUBHAI RATHVA,BJP,62.83640144227546,Chhota Udaipur,JASHUBHAI BHILUBHAI RATHVA,BJP,62.83640144227546,NDA,False,10.925337520976312,31.45626120615058,2.0235446983482945
Rajasthan,RAJASTHAN__RAJSAMAND,RAJSAMAND,MAHIMA KUMARI MEWAR,BJP,64.39565421677808,RAJSAMAND,MAHIMA KUMARI MEWAR,BJP,64.39565421677808,NDA,False,10.915055173432076,32.33148961776561,1.9315468912997609
