candidate_election_id,candidate_clean,candidate_raw,party_id,state,constituency,election_year
CAND_2019_ANDHRA_PRADESH_CHITTOOR_TDP_NARAMALLI_SIVA_PRASAD,NARAMALLI SIVA PRASAD,NARAMALLI SIVA PRASAD,TDP,Andhra Pradesh,Chittoor,2019
CAND_2019_ANDHRA_PRADESH_CHITTOOR_YSRCP_N_REDDEPPA,N. REDDEPPA,N. REDDEPPA,YSRCP,Andhra Pradesh,Chittoor,2019
CAND_2019_ANDHRA_PRADESH_ELURU_BJP_CHINNAM_RAMA_KOTAYYA,CHINNAM RAMA KOTAYYA,CHINNAM RAMA KOTAYYA,BJP,Andhra Pradesh,Eluru,2019
CAND_2019_ANDHRA_PRADESH_ELURU_INC_JETTI_GURUNADHA_RAO,JETTI GURUNADHA RAO,JETTI GURUNADHA RAO,INC,Andhra Pradesh,Eluru,2019
CAND_2019_ANDHRA_PRADESH_ELURU_IND_DR_MENDEM_SANTHOSH_KUMARPEDDABABU,DR.MENDEM. SANTHOSH KUMARPEDDABABU,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),IND,Andhra Pradesh,Eluru,2019
CAND_2019_ANDHRA_PRADESH_ELURU_IND_ALAGA_RAVI_KUMAR,ALAGA. RAVI KUMAR,ALAGA. RAVI KUMAR,IND,Andhra Pradesh,Eluru,2019
CAND_2019_ANDHRA_PRADESH_ELURU_JAJGP_V_SIVA_RAMA_KRISHNA,V. SIVA RAMA KRISHNA,V. SIVA RAMA KRISHNA,JAJGP,Andhra Pradesh,Eluru,2019
CAND_2019_ANDHRA_PRADESH_ELURU_JNP_PENTAPATI_PULLARAO,PENTAPATI PULLARAO,PENTAPATI PULLARAO,JNP,Andhra Pradesh,Eluru,2019
CAND_2019_ANDHRA_PRADESH_ELURU_NOTA_NOTA,NOTA,NOTA,NOTA,Andhra Pradesh,Eluru,2019
CAND_2019_ANDHRA_PRADESH_ELURU_PPOI_CHINA_VENKATA_SURYANARAYANA_JOSYULA,CHINA VENKATA SURYANARAYANA JOSYULA,CHINA VENKATA SURYANARAYANA JOSYULA,PPOI,Andhra Pradesh,Eluru,2019
