election_year,election_type,constituency_id,state,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes,party_raw,party_clean,party_id,candidate_raw,candidate_clean,candidate_election_id
2019,lok_sabha,ANDHRA_PRADESH__ANANTAPUR,Andhra Pradesh,Anantapur,GADIDAMA RANGANAYAKULU,VJNP,728.0,0.0542350253965936,15.0,False,,VJNP,VJNP,VJNP,GADIDAMA RANGANAYAKULU,GADIDAMA RANGANAYAKULU,CAND_2019_ANDHRA_PRADESH_ANANTAPUR_VJNP_GADIDAMA_RANGANAYAKULU
2019,lok_sabha,ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,GODDETI. MADHAVI,YSRCP,562190.0,52.31922928737745,1.0,True,224089.0,YSRCP,YSRCP,YSRCP,GODDETI. MADHAVI,GODDETI. MADHAVI,CAND_2019_ANDHRA_PRADESH_ARUKU_YSRCP_GODDETI_MADHAVI
2019,lok_sabha,ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,KISHORE CHANDRA DEO,TDP,338101.0,31.464778351254218,2.0,False,,TDP,TDP,TDP,KISHORE CHANDRA DEO,KISHORE CHANDRA DEO,CAND_2019_ANDHRA_PRADESH_ARUKU_TDP_KISHORE_CHANDRA_DEO
2019,lok_sabha,ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,NOTA,NOTA,47977.0,4.464895610950939,3.0,False,,NOTA,NOTA,NOTA,NOTA,NOTA,CAND_2019_ANDHRA_PRADESH_ARUKU_NOTA_NOTA
2019,lok_sabha,ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,GANGULAIAH VAMPURU.,JnP,42794.0,3.982548779103205,4.0,False,,JnP,JNP,JNP,GANGULAIAH VAMPURU.,GANGULAIAH VAMPURU.,CAND_2019_ANDHRA_PRADESH_ARUKU_JNP_GANGULAIAH_VAMPURU
2019,lok_sabha,ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,17867.0,1.66276111221753,5.0,False,,BJP,BJP,BJP,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,DR. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,CAND_2019_ANDHRA_PRADESH_ARUKU_BJP_DR_KOSURI_KASI_VISWANADHA_VEERA_VENKATA_SATYANARAYANA_REDDY
2019,lok_sabha,ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,SHRUTI DEVI VYRICHERLA,INC,17730.0,1.6500114467799183,6.0,False,,INC,INC,INC,SHRUTI DEVI VYRICHERLA,SHRUTI DEVI VYRICHERLA,CAND_2019_ANDHRA_PRADESH_ARUKU_INC_SHRUTI_DEVI_VYRICHERLA
2019,lok_sabha,ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,KANGALA BALUDORA,IND,13826.0,1.2866925134336804,7.0,False,,IND,IND,IND,KANGALA BALUDORA,KANGALA BALUDORA,CAND_2019_ANDHRA_PRADESH_ARUKU_IND_KANGALA_BALUDORA
2019,lok_sabha,ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,NARAVA SATYAVATHI,IND,11236.0,1.0456586923868676,8.0,False,,IND,IND,IND,NARAVA SATYAVATHI,NARAVA SATYAVATHI,CAND_2019_ANDHRA_PRADESH_ARUKU_IND_NARAVA_SATYAVATHI
2019,lok_sabha,ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,ANUMULA VAMSIKRISHNA,IND,10240.0,0.9529676940229196,9.0,False,,IND,IND,IND,ANUMULA VAMSIKRISHNA,ANUMULA VAMSIKRISHNA,CAND_2019_ANDHRA_PRADESH_ARUKU_IND_ANUMULA_VAMSIKRISHNA
2019,lok_sabha,ANDHRA_PRADESH__ARUKU,Andhra Pradesh,Aruku,BIDDIKA RAMAYYA.,IND,7867.0,0.7321285985232723,10.0,False,,IND,IND,IND,BIDDIKA RAMAYYA.,BIDDIKA RAMAYYA.,CAND_2019_ANDHRA_PRADESH_ARUKU_IND_BIDDIKA_RAMAYYA
