election_year,election_type,state,constituency,candidate,party,votes,vote_share,rank,winner,margin_votes
2024,lok_sabha,Andhra Pradesh,Eluru,AGASTEEN KOMMINA,IND,1004.0,0.0726457600273217,10.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),LBCP,786.0,0.056872079065214,11.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,RAJESWARA RAO KONDRU,BHRJWNKP,732.0,0.0529648369920313,12.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,GODUGUPATI VEERA RAGHAVULU,PPOI,715.0,0.0517347793023257,13.0,False,
2024,lok_sabha,Andhra Pradesh,Eluru,BYRABOYINA MALYADRI,BCYP,715.0,0.0517347793023257,14.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,DR CHANDRA SEKHAR PEMMASANI,TDP,864948.0,60.682306571411935,1.0,True,344695.0
2024,lok_sabha,Andhra Pradesh,Guntur,KILARI VENKATA ROSAIAH,YSRCP,520253.0,36.49947978456135,2.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,JANGALA AJAY KUMAR,CPI,8637.0,0.605947504193645,3.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,NOTA,NOTA,7387.0,0.5182510377999833,4.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,SIVAREDDY. ENDREDDY,NavaP,5629.0,0.3949147274639374,5.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,TENALI PRAKASH,BSP,4272.0,0.2997114435469783,6.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,SIKHAKOLLI HEMA GOWRI SHANKAR,JJSP,1964.0,0.1377886879977213,7.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,SAMUDRALA CHINNA KOTAIAH,JRBP,1753.0,0.1229855244704712,8.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,UMAR BHASHA SHAIK,JNSHSK,1275.0,0.0894503957215349,9.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,SYED. SAIDA,NRCP,1222.0,0.0857320655464437,10.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,AMBATI CHALAMAIAH,PPOI,1031.0,0.0723320454814921,11.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,PILLI BABU RAO,IND,692.0,0.0485487637955311,12.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,HARI VENKATA SATISH KURNALA,JBNP,542.0,0.0380251878282917,13.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,VISHNU REDDY LANKIREDDY,BNGLRNNP,461.0,0.0323424568059824,14.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,EMANI. CHANDRASEKHAR RAO,NPT,414.0,0.0290450696695807,15.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,SHAIK. KHAJAVALI,IND,391.0,0.0274314546879373,16.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,CHALLAPALLI RATAN RAJU,VCK,378.0,0.0265194114374433,17.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,KANNEBOYINA VAMSI KRISHNA YADAV,IND,375.0,0.0263089399180985,18.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,APRS,358.0,0.0251162679751447,19.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,GAYATRI AUDHIPUDI,IND,357.0,0.0250461108020297,20.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,SHAIK ASLAM AKTHER,IND,335.0,0.0235026529935013,21.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,ASHOK ANAND GALI,IND,335.0,0.0235026529935013,22.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,PATHAN KHAJA (BASHA),TLRDSMTP,332.0,0.0232921814741565,23.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,BURAGA RATNAM,LJD,316.0,0.0221696667043176,24.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,AMARTHALURI VENKATESWARA RAO.,MCPI,312.0,0.0218890380118579,25.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,DR. RAYAPUDI RAJESH VIJAY KUMAR,ILP(AP),310.0,0.0217487236656281,26.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,IND,268.0,0.018802122394801,27.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,SIVA PARVATHI,IND,266.0,0.0186618080485712,28.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,BOMMASANI MUTYALA RAO,AlPP,207.0,0.0145225348347903,29.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,SRIKRISHNA AKKISETTI,IND,179.0,0.0125581339875723,30.0,False,
2024,lok_sabha,Andhra Pradesh,Guntur,MADAVARAPU NAGA RAJU,IND,172.0,0.0120670337757678,31.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,B K PARTHASARATHI,TDP,725534.0,51.22601298135545,1.0,True,132427.0
2024,lok_sabha,Andhra Pradesh,Hindupur,J SHANTHA,YSRCP,593107.0,41.87606215743547,2.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,B A SAMAD SHAHEEN,INC,55059.0,3.887416783693734,3.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,NOTA,NOTA,17971.0,1.268834650461507,4.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,BHAGYA R S,BSP,8015.0,0.5658955942044949,5.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,PRATHAP REDDY GORLA,IND,5444.0,0.3843712557516244,6.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,H D HANUMANTHE GOWD,IND,2278.0,0.1608372006984203,7.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,ANJINAPPA GARI SREENIVASULU,RSP,2051.0,0.1448099642811502,8.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,S N SURESH,IND,1631.0,0.1151560466809146,9.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,DASAGANIPALLI KULLAYAPPA,IND,1328.0,0.0937628632693161,10.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,ASHOK,SUCI,1292.0,0.0912210989035817,11.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,T SUDHAKAR REDDY,IND,1237.0,0.0873378477892651,12.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,S RAGHUNATHA REDDY,IND,710.0,0.050129241657541,13.0,False,
2024,lok_sabha,Andhra Pradesh,Hindupur,BUDILI DHANUNJAYA,NNKP,682.0,0.0481523138175253,14.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,Y. S. AVINASH REDDY,YSRCP,605143.0,45.77567654456401,1.0,True,62695.0
2024,lok_sabha,Andhra Pradesh,Kadapa,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,TDP,542448.0,41.0331511564137,2.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,Y.S. SHARMILA REDDY,INC,141039.0,10.668809924544716,3.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,NOTA,NOTA,16846.0,1.2743054898920176,4.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,PANDITI. GURAPPA.,BSP,3810.0,0.2882051476011271,5.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,VENU GOPAL RACHINENI,RPC(S),3570.0,0.2700504926341269,6.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,CHINNAPUREDDY GOPALA KRISHNA REDDY,IND,2430.0,0.1838158815408763,7.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,KUNCHAM. VENKATA SUBBA REDDY,RRS,2333.0,0.1764783751583804,8.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,L. KHAJA HUSSAIN,IND,1088.0,0.0823011025170672,9.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,ANKIREDDY. SURESH KUMAR REDDY.,AIFB,755.0,0.0571115187503545,10.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,KAKARLA SHANMUKHA REDDY,IND,647.0,0.0489419240152045,11.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,PALLE RAMESH,JRBP,624.0,0.0472021029142003,12.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,CHAN BASHA. S,AYSRCP,439.0,0.033207889710471,13.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,J. V. RAMANA,JCVIVP,434.0,0.0328296677319919,14.0,False,
2024,lok_sabha,Andhra Pradesh,Kadapa,MALIKIREDDY. HANUMANTHA REDDY,JNSHSK,369.0,0.0279127820117627,15.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),JnP,729699.0,54.8727142291001,1.0,True,229491.0
2024,lok_sabha,Andhra Pradesh,Kakinada,CHALAMALASETTY SUNIL,YSRCP,500208.0,37.61519563424056,2.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,MALLIPUDI MANGAPATI PALLAM RAJU,INC,21109.0,1.5873779800466687,3.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,NOTA,NOTA,17220.0,1.2949286473259574,4.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,UDAY,NRCP,15703.0,1.1808515998234326,5.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,KANDREGULA NARASIMHAM,BSP,11979.0,0.9008101199952174,6.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,DR ANUSHA YADAV,BCYP,9854.0,0.7410120145615553,7.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,TANGELLA SRINIVASU,JJSP,6559.0,0.4932309522538301,8.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,YEDIDA VARA PRASAD KUMAR,RPI(A),3927.0,0.2953068988414073,9.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,BUGATHA BANGARRAO,CPI(ML)(L),2823.0,0.2122870831243424,10.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,SUDHA VEERA GANESH,IND,2647.0,0.1990520400390132,11.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,BHAVANI SANKAR PRASAD MERLA,IND,1969.0,0.1480670445171202,12.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,YENUGUPALLI KRISHNA,JRBP,1780.0,0.1338544130220792,13.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,BODDETI APPARAO,IND,1687.0,0.1268608959372177,14.0,False,
2024,lok_sabha,Andhra Pradesh,Kakinada,NEELAKANTAM DONAM,IND,1412.0,0.1061811411163909,15.0,False,
