state,constituency,state_key,constituency_key,variable,value,unit,source_name,source_url_or_document,source_year,geography_level,method,confidence,notes,entered_by,last_updated
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,st_pct,,percent,,,,,,,,,
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Bhiwandi,MAHARASHTRA,BHIWANDI,sex_ratio,,females_per_1000_males,,,,,,,,,
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,urban_pct,,percent,,,,,,,,,
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,literacy_rate,,percent,,,,,,,,,
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,sc_pct,,percent,,,,,,,,,
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,st_pct,,percent,,,,,,,,,
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,religion_hindu_pct,,percent,,,,,,,,,
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,religion_muslim_pct,,percent,,,,,,,,,
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,population_density,,persons_per_sq_km,,,,,,,,,
Uttar Pradesh,Bansgaon,UTTAR PRADESH,BANSGAON,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Dhule,MAHARASHTRA,DHULE,urban_pct,,percent,,,,,,,,,
Maharashtra,Dhule,MAHARASHTRA,DHULE,literacy_rate,,percent,,,,,,,,,
Maharashtra,Dhule,MAHARASHTRA,DHULE,sc_pct,,percent,,,,,,,,,
Maharashtra,Dhule,MAHARASHTRA,DHULE,st_pct,,percent,,,,,,,,,
Maharashtra,Dhule,MAHARASHTRA,DHULE,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Dhule,MAHARASHTRA,DHULE,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Dhule,MAHARASHTRA,DHULE,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Dhule,MAHARASHTRA,DHULE,sex_ratio,,females_per_1000_males,,,,,,,,,
Uttar Pradesh,Salempur,UTTAR PRADESH,SALEMPUR,urban_pct,,percent,,,,,,,,,
Uttar Pradesh,Salempur,UTTAR PRADESH,SALEMPUR,literacy_rate,,percent,,,,,,,,,
Uttar Pradesh,Salempur,UTTAR PRADESH,SALEMPUR,sc_pct,,percent,,,,,,,,,
Uttar Pradesh,Salempur,UTTAR PRADESH,SALEMPUR,st_pct,,percent,,,,,,,,,
Uttar Pradesh,Salempur,UTTAR PRADESH,SALEMPUR,religion_hindu_pct,,percent,,,,,,,,,
Uttar Pradesh,Salempur,UTTAR PRADESH,SALEMPUR,religion_muslim_pct,,percent,,,,,,,,,
Uttar Pradesh,Salempur,UTTAR PRADESH,SALEMPUR,population_density,,persons_per_sq_km,,,,,,,,,
Uttar Pradesh,Salempur,UTTAR PRADESH,SALEMPUR,sex_ratio,,females_per_1000_males,,,,,,,,,
Maharashtra,Bhandara Gondiya,MAHARASHTRA,BHANDARA GONDIYA,urban_pct,,percent,,,,,,,,,
Maharashtra,Bhandara Gondiya,MAHARASHTRA,BHANDARA GONDIYA,literacy_rate,,percent,,,,,,,,,
Maharashtra,Bhandara Gondiya,MAHARASHTRA,BHANDARA GONDIYA,sc_pct,,percent,,,,,,,,,
Maharashtra,Bhandara Gondiya,MAHARASHTRA,BHANDARA GONDIYA,st_pct,,percent,,,,,,,,,
Maharashtra,Bhandara Gondiya,MAHARASHTRA,BHANDARA GONDIYA,religion_hindu_pct,,percent,,,,,,,,,
Maharashtra,Bhandara Gondiya,MAHARASHTRA,BHANDARA GONDIYA,religion_muslim_pct,,percent,,,,,,,,,
Maharashtra,Bhandara Gondiya,MAHARASHTRA,BHANDARA GONDIYA,population_density,,persons_per_sq_km,,,,,,,,,
Maharashtra,Bhandara Gondiya,MAHARASHTRA,BHANDARA GONDIYA,sex_ratio,,females_per_1000_males,,,,,,,,,
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,urban_pct,,percent,,,,,,,,,
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,literacy_rate,,percent,,,,,,,,,
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,sc_pct,,percent,,,,,,,,,
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,st_pct,,percent,,,,,,,,,
Tamil Nadu,TIRUNELVELI,TAMIL NADU,TIRUNELVELI,religion_hindu_pct,,percent,,,,,,,,,
