year,poll_type,geography_level,state,voter_group_type,voter_group,party_or_alliance,vote_share,sample_size,source_table,source_page,confidence,notes,original_label,dedupe_status,duplicate_count,conflict_flag,dedupe_notes
2019,post_poll,national,,caste,Valid,INC,7.9,,2019_post_poll_table_145.csv,,medium,auto-cleaned long table,Valid | 1: Increased,duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=7.9;17.8
2019,post_poll,national,,caste,Valid,Regional,35.3,,2019_post_poll_table_176.csv,,medium,auto-cleaned long table,Valid | 1: No 2: Yes 7: Can't say 8: No response Total,unique,1,False,
2019,post_poll,national,,gender,,BJP,81.0,,2019_post_poll_table_031.csv,,medium,auto-cleaned long table,nan | 28: Vote against Modi or BJP,duplicate_conflict,4,True,conflicting vote_shares with tied confidence; values=8.0;32.0;65.0;81.0
2019,post_poll,national,,gender,,INC,32.0,,2019_post_poll_table_448.csv,,medium,auto-cleaned long table,nan | 001: INC,unique,1,False,
2019,post_poll,national,,gender,,INDIA,8.0,,2019_post_poll_table_033.csv,,medium,auto-cleaned long table,nan | 87: Improving India’s image in the world,unique,1,False,
2019,post_poll,national,,gender,,NDA,100.0,,2019_post_poll_table_197.csv,,medium,auto-cleaned long table,"nan | 403: Bandari Naik, Gabit, Gosavi",duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=64.0;100.0
2019,post_poll,national,,gender,,Others,29.0,,2019_post_poll_table_031.csv,,medium,auto-cleaned long table,nan | 32: Vote against any other party or leader,duplicate_conflict,23,True,conflicting vote_shares with tied confidence; values=0.0;3.0;4.0;10.0;11.0;14.0;20.0;22.0;29.0;30.0;33.0;40.0;42.0;60.0;62.0;65.3;71.0;90.0
2019,post_poll,national,,gender,,Regional,67.0,,2019_post_poll_table_031.csv,,medium,auto-cleaned long table,"nan | 17: Transport services – buses, trains, flights",duplicate_conflict,20,True,conflicting vote_shares with tied confidence; values=1.5;1.6;1.7;1.9;2.0;2.1;2.4;2.6;3.0;7.0;14.0;18.0;27.0;38.0;67.0;70.0;76.0;86.0;96.0;100.0
2019,post_poll,national,,other,Valid,INC,4.0,,2019_post_poll_table_066.csv,,medium,auto-cleaned long table,Valid | 001: INC,duplicate_conflict,4,True,conflicting vote_shares with tied confidence; values=4.0;6.0;32.0;44.0
2019,post_poll,national,,other,Valid,Others,23.7,,2019_post_poll_table_070.csv,,medium,auto-cleaned long table,Valid | 1: Would have voted for some other party,unique,1,False,
2019,post_poll,national,,religion,,BJP,30.7,,2019_post_poll_table_308.csv,,medium,auto-cleaned long table,nan | 2: Nothing wrong in contesting with BJP,duplicate_conflict,2,True,conflicting vote_shares with tied confidence; values=4.0;30.7
