year,geography_level,state,voter_group_type,voter_group,party_or_alliance,pre_poll_vote_share,post_poll_vote_share,pre_to_post_shift,absolute_shift,shift_direction,notes
2019,national,,gender,,Others,1.6,62.0,60.4,60.4,increased_post_poll,
2019,national,,gender,,Others,1.6,10.0,8.4,8.4,increased_post_poll,
2019,national,,gender,,Others,1.6,33.0,31.4,31.4,increased_post_poll,
2019,national,,gender,,Others,1.6,0.0,-1.6,1.6,decreased_post_poll,
2019,national,,gender,,Others,1.6,10.0,8.4,8.4,increased_post_poll,
2019,national,,gender,,Others,1.6,11.0,9.4,9.4,increased_post_poll,
2019,national,,gender,,Others,1.6,65.3,63.7,63.7,increased_post_poll,
2019,national,,gender,,Others,1.6,4.0,2.4,2.4,increased_post_poll,
2019,national,,gender,,Others,1.6,20.0,18.4,18.4,increased_post_poll,
2019,national,,gender,,Others,2.7,29.0,26.3,26.3,increased_post_poll,
2019,national,,gender,,Others,2.7,10.0,7.3,7.3,increased_post_poll,
2019,national,,gender,,Others,2.7,20.0,17.3,17.3,increased_post_poll,
2019,national,,gender,,Others,2.7,42.0,39.3,39.3,increased_post_poll,
2019,national,,gender,,Others,2.7,30.0,27.3,27.3,increased_post_poll,
2019,national,,gender,,Others,2.7,40.0,37.3,37.3,increased_post_poll,
2019,national,,gender,,Others,2.7,22.0,19.3,19.3,increased_post_poll,
2019,national,,gender,,Others,2.7,14.0,11.3,11.3,increased_post_poll,
2019,national,,gender,,Others,2.7,90.0,87.3,87.3,increased_post_poll,
2019,national,,gender,,Others,2.7,20.0,17.3,17.3,increased_post_poll,
2019,national,,gender,,Others,2.7,10.0,7.3,7.3,increased_post_poll,
2019,national,,gender,,Others,2.7,60.0,57.3,57.3,increased_post_poll,
2019,national,,gender,,Others,2.7,71.0,68.3,68.3,increased_post_poll,
2019,national,,gender,,Others,2.7,3.0,0.3,0.3,unchanged,
2019,national,,gender,,Others,2.7,62.0,59.3,59.3,increased_post_poll,
2019,national,,gender,,Others,2.7,10.0,7.3,7.3,increased_post_poll,
2019,national,,gender,,Others,2.7,33.0,30.3,30.3,increased_post_poll,
2019,national,,gender,,Others,2.7,0.0,-2.7,2.7,decreased_post_poll,
2019,national,,gender,,Others,2.7,10.0,7.3,7.3,increased_post_poll,
2019,national,,gender,,Others,2.7,11.0,8.3,8.3,increased_post_poll,
2019,national,,gender,,Others,2.7,65.3,62.6,62.6,increased_post_poll,
2019,national,,gender,,Others,2.7,4.0,1.3,1.3,increased_post_poll,
2019,national,,gender,,Others,2.7,20.0,17.3,17.3,increased_post_poll,
2019,national,,gender,,Others,20.0,29.0,9.0,9.0,increased_post_poll,
2019,national,,gender,,Others,20.0,10.0,-10.0,10.0,decreased_post_poll,
2019,national,,gender,,Others,20.0,20.0,0.0,0.0,unchanged,
2019,national,,gender,,Others,20.0,42.0,22.0,22.0,increased_post_poll,
2019,national,,gender,,Others,20.0,30.0,10.0,10.0,increased_post_poll,
2019,national,,gender,,Others,20.0,40.0,20.0,20.0,increased_post_poll,
2019,national,,gender,,Others,20.0,22.0,2.0,2.0,increased_post_poll,
2019,national,,gender,,Others,20.0,14.0,-6.0,6.0,decreased_post_poll,
2019,national,,gender,,Others,20.0,90.0,70.0,70.0,increased_post_poll,
2019,national,,gender,,Others,20.0,20.0,0.0,0.0,unchanged,
2019,national,,gender,,Others,20.0,10.0,-10.0,10.0,decreased_post_poll,
2019,national,,gender,,Others,20.0,60.0,40.0,40.0,increased_post_poll,
2019,national,,gender,,Others,20.0,71.0,51.0,51.0,increased_post_poll,
2019,national,,gender,,Others,20.0,3.0,-17.0,17.0,decreased_post_poll,
2019,national,,gender,,Others,20.0,62.0,42.0,42.0,increased_post_poll,
2019,national,,gender,,Others,20.0,10.0,-10.0,10.0,decreased_post_poll,
2019,national,,gender,,Others,20.0,33.0,13.0,13.0,increased_post_poll,
2019,national,,gender,,Others,20.0,0.0,-20.0,20.0,decreased_post_poll,
2019,national,,gender,,Others,20.0,10.0,-10.0,10.0,decreased_post_poll,
2019,national,,gender,,Others,20.0,11.0,-9.0,9.0,decreased_post_poll,
2019,national,,gender,,Others,20.0,65.3,45.3,45.3,increased_post_poll,
2019,national,,gender,,Others,20.0,4.0,-16.0,16.0,decreased_post_poll,
2019,national,,gender,,Others,20.0,20.0,0.0,0.0,unchanged,
2019,national,,gender,,Others,34.0,29.0,-5.0,5.0,decreased_post_poll,
2019,national,,gender,,Others,34.0,10.0,-24.0,24.0,decreased_post_poll,
