state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes
Andhra Pradesh,Araku,AVASHYA LAHARI . VARAM,FEMALE,30.0,ST,BSP,Elephant,1165787.0,1113975.0,24858.0,892.0,25750.0,1.65,2.21,2.31,1557153.0,2024,5,False,2.2113539067968,9535.0,
Andhra Pradesh,Araku,SAMAREDDY BALAKRISHNA,MALE,48.0,ST,IND,Gas cylinder,1165787.0,1113975.0,9493.0,42.0,9535.0,0.61,0.82,0.86,1557153.0,2024,6,False,0.81884502917699,9462.0,
Andhra Pradesh,Araku,NIMMAKA JAYARAJU,MALE,64.0,ST,IND,Bat,1165787.0,1113975.0,8798.0,664.0,9462.0,0.61,0.81,0.85,1557153.0,2024,7,False,0.812575948198498,8136.0,
Andhra Pradesh,Araku,ATHIDHI,FEMALE,32.0,ST,IND,Plate containing food,1165787.0,1113975.0,8121.0,15.0,8136.0,0.52,0.7,0.73,1557153.0,2024,8,False,0.6987019567261656,7252.0,
Andhra Pradesh,Araku,CHANTI BADNAINA,MALE,28.0,ST,JBNP,Battery Torch,1165787.0,1113975.0,7205.0,47.0,7252.0,0.47,0.62,0.65,1557153.0,2024,9,False,0.6227859624112775,6766.0,
Andhra Pradesh,Araku,MOTTADAM . RAJABABU,MALE,47.0,ST,BHRTADVSIP,Hockey and ball,1165787.0,1113975.0,6370.0,396.0,6766.0,0.43,0.58,0.61,1557153.0,2024,10,False,0.5810493411024136,6047.0,
Andhra Pradesh,Araku,RANJITH KUMAR PALAKA,MALE,42.0,ST,IND,Biscuit,1165787.0,1113975.0,6000.0,47.0,6047.0,0.39,0.52,0.54,1557153.0,2024,11,False,0.5193031873553495,4967.0,
Andhra Pradesh,Araku,MANDALA GIRIDHARA RAO,MALE,42.0,ST,IND,Belt,1165787.0,1113975.0,4931.0,36.0,4967.0,0.32,0.43,0.45,1557153.0,2024,12,False,0.42655514000231864,4959.0,
Andhra Pradesh,Araku,RAMBABU JALLI,MALE,45.0,ST,TLRDSMTP,Rubber stamp,1165787.0,1113975.0,4933.0,26.0,4959.0,0.32,0.43,0.45,1557153.0,2024,13,False,0.4258681174293333,4542.0,
Andhra Pradesh,Araku,VUYAKA NIREEKSHAN (V. CHENCHU),MALE,43.0,ST,IPBP,Trumpet,1165787.0,1113975.0,4500.0,42.0,4542.0,0.29,0.39,0.41,1557153.0,2024,14,False,0.39005706581246863,,
Andhra Pradesh,Bapatla,KRISHNA PRASAD TENNETI,MALE,64.0,SC,TDP,Bicycle,1308243.0,1287022.0,706757.0,10736.0,717493.0,47.48,54.84,55.75,1511177.0,2024,1,True,55.16015821702178,509462.0,208031.0
Andhra Pradesh,Bapatla,NANDIGAM SURESH BABU,MALE,46.0,SC,YSRCP,Ceiling fan,1308243.0,1287022.0,503816.0,5646.0,509462.0,33.71,38.94,39.58,1511177.0,2024,2,False,39.1669389465268,43259.0,
Andhra Pradesh,Bapatla,J.D. SEELAM,MALE,70.0,SC,INC,Hand,1308243.0,1287022.0,41673.0,1586.0,43259.0,2.86,3.31,3.36,1511177.0,2024,3,False,3.325709497249653,13723.0,
Andhra Pradesh,Bapatla,NOTA,,,,NOTA,NOTA,1308243.0,1287022.0,13599.0,124.0,13723.0,0.91,1.05,1.07,1511177.0,2024,4,False,1.0550107822824613,6857.0,
Andhra Pradesh,Bapatla,DOKKA JAGAN MOHANA RAO,MALE,61.0,SC,BSP,Elephant,1308243.0,1287022.0,6774.0,83.0,6857.0,0.45,0.52,0.53,1511177.0,2024,5,False,0.52715943555424,2964.0,
Andhra Pradesh,Bapatla,NALAMALA TIRUPATI RAO,MALE,46.0,SC,NavaP,Glass tumbler,1308243.0,1287022.0,2888.0,76.0,2964.0,0.2,0.23,0.23,1511177.0,2024,6,False,0.22786941329776397,1318.0,
Andhra Pradesh,Bapatla,BUSSA. NAGARAJU,MALE,34.0,SC,IND,Almirah,1308243.0,1287022.0,1311.0,7.0,1318.0,0.09,0.1,0.1,1511177.0,2024,7,False,0.10132654747856036,1051.0,
Andhra Pradesh,Bapatla,GADDE. VIJAYA LAKSHMI,FEMALE,34.0,SC,IND,Bucket,1308243.0,1287022.0,1046.0,5.0,1051.0,0.07,0.08,0.08,1511177.0,2024,8,False,0.08079984931712211,897.0,
