party,votes,vote_share_pct,seats,seat_share_pct,representation_gap
MLPOIRF,14016.0,0.002282093813844967,0.0,0.0,-0.002282093813844967
JHP,13693.0,0.002229502753494516,0.0,0.0,-0.002229502753494516
PSS,13535.0,0.0022037770954902703,0.0,0.0,-0.0022037770954902703
JP,13467.0,0.0021927052933112283,0.0,0.0,-0.0021927052933112283
PMPT,13450.0,0.002189937342766468,0.0,0.0,-0.002189937342766468
PRISMP,13323.0,0.0021692591239909033,0.0,0.0,-0.0021692591239909033
PMP,13238.0,0.0021554193712671004,0.0,0.0,-0.0021554193712671004
PRCP,13229.0,0.00215395398568458,0.0,0.0,-0.00215395398568458
BGanP,13039.0,0.0021230180678313733,0.0,0.0,-0.0021230180678313733
BMtrP,12737.0,0.0020738462405068027,0.0,0.0,-0.0020738462405068027
KPPU,12666.0,0.00206228597646692,0.0,0.0,-0.00206228597646692
UKDD,12629.0,0.002056261613516559,0.0,0.0,-0.002056261613516559
AKBHAD,12538.0,0.002041444937071076,0.0,0.0,-0.002041444937071076
SDP(MP),12525.0,0.0020393282690074357,0.0,0.0,-0.0020393282690074357
RasLP,12459.0,0.002028582108068953,0.0,0.0,-0.002028582108068953
KS,12432.0,0.002024185951321392,0.0,0.0,-0.002024185951321392
STBP,12430.0,0.002023860310080832,0.0,0.0,-0.002023860310080832
BJSTP,12416.0,0.0020215808213969117,0.0,0.0,-0.0020215808213969117
PDS,12087.0,0.00196801283732478,0.0,0.0,-0.00196801283732478
RPI,12015.0,0.0019562897526646176,0.0,0.0,-0.0019562897526646176
SMARTIP,11877.0,0.001933820507065973,0.0,0.0,-0.001933820507065973
PGSP,11752.0,0.0019134679295309685,0.0,0.0,-0.0019134679295309685
GJNP,11678.0,0.001901419203630246,0.0,0.0,-0.001901419203630246
GPI,11631.0,0.0018937666344770842,0.0,0.0,-0.0018937666344770842
ASDHP,11598.0,0.0018883935540078432,0.0,0.0,-0.0018883935540078432
JAJGP,11464.0,0.0018665755908903185,0.0,0.0,-0.0018665755908903185
JanSP,11324.0,0.0018437807040511138,0.0,0.0,-0.0018437807040511138
AMiP,11311.0,0.0018416640359874732,0.0,0.0,-0.0018416640359874732
RPWP,11248.0,0.001831406336909831,0.0,0.0,-0.001831406336909831
KKJHS,11200.0,0.0018235909471363892,0.0,0.0,-0.0018235909471363892
BMFP,11132.0,0.001812519144957347,0.0,0.0,-0.001812519144957347
AIPF,11032.0,0.0017962370829293435,0.0,0.0,-0.0017962370829293435
RAIM,10914.0,0.0017770242497362994,0.0,0.0,-0.0017770242497362994
JSVP,10569.0,0.0017208511357396875,0.0,0.0,-0.0017208511357396875
PHRC,10532.0,0.001714826772789326,0.0,0.0,-0.001714826772789326
GAGUP,10469.0,0.001704569073711684,0.0,0.0,-0.001704569073711684
SADT,10424.0,0.0016972421457990825,0.0,0.0,-0.0016972421457990825
YJJP,10147.0,0.0016521408339815126,0.0,0.0,-0.0016521408339815126
AKBMP,10127.0,0.001648884421575912,0.0,0.0,-0.001648884421575912
HJP,9997.0,0.0016277177409395078,0.0,0.0,-0.0016277177409395078
RKSP,9914.0,0.0016142036294562647,0.0,0.0,-0.0016142036294562647
ABSKP,9912.0,0.0016138779882157047,0.0,0.0,-0.0016138779882157047
BBMP,9894.0,0.001610947217050664,0.0,0.0,-0.001610947217050664
LAJSP,9868.0,0.001606713880923383,0.0,0.0,-0.001606713880923383
PRSHP,9738.0,0.0015855472002869785,0.0,0.0,-0.0015855472002869785
BhAmAP,9628.0,0.0015676369320561747,0.0,0.0,-0.0015676369320561747
IPGP,9538.0,0.0015529830762309718,0.0,0.0,-0.0015529830762309718
BKPP,9503.0,0.0015472843545211703,0.0,0.0,-0.0015472843545211703
SamSP,9396.0,0.0015298625481512066,0.0,0.0,-0.0015298625481512066
LJVM,9278.0,0.0015106497149581625,0.0,0.0,-0.0015106497149581625
ravp,9109.0,0.0014831330301308366,0.0,0.0,-0.0014831330301308366
ABJS,9015.0,0.0014678278918245134,0.0,0.0,-0.0014678278918245134
UMK,9007.0,0.0014665253268622731,0.0,0.0,-0.0014665253268622731
RASMARP,8997.0,0.0014648971206594728,0.0,0.0,-0.0014648971206594728
