state,constituency,candidate,sex,age,category,party,party_symbol,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Andhra Pradesh,Chittoor,N. REDDEPPA,MALE,68.0,SC,YSRCP,Ceiling Fan,681325.0,5467.0,686792.0,43.84247931214767,52.04408794856153,1566499.0,2019,1.0,True,52.0505171765676,549521.0,137271.0,0.0,52.05051717656759,1.0
Andhra Pradesh,Chittoor,NARAMALLI SIVA PRASAD,MALE,67.0,SC,TDP,Bicycle,545374.0,4147.0,549521.0,35.07956277022839,41.64189340234232,1566499.0,2019,2.0,False,41.64703760291996,24643.0,,0.0,41.64703760291995,2.0
Andhra Pradesh,Chittoor,CHEEMALA. RANGAPPA,MALE,60.0,SC,INC,Hand,24497.0,146.0,24643.0,1.5731258047403798,1.8674103066378205,1566499.0,2019,3.0,False,1.867640995792256,20556.0,,0.0,1.8676409957922555,3.0
Andhra Pradesh,Chittoor,NOTA,,,,NOTA,,20503.0,53.0,20556.0,1.312225542435712,1.5577034558798457,1566499.0,2019,4.0,False,1.5578958856269782,20062.0,,0.0,1.557895885626978,4.0
Andhra Pradesh,Chittoor,C. PUNYAMURTHY,MALE,45.0,SC,BSP,Elephant,19952.0,110.0,20062.0,1.2806902525951185,1.5202688622232663,1566499.0,2019,5.0,False,1.5204566675154911,10496.0,,0.0,1.520456667515491,5.0
Andhra Pradesh,Chittoor,JAYARAM DUGGANI,MALE,70.0,SC,BJP,Lotus,10137.0,359.0,10496.0,0.6700291541839477,0.7953714474078059,1566499.0,2019,6.0,False,0.7954697030327282,3445.0,,0.0,0.7954697030327281,6.0
Andhra Pradesh,Chittoor,PALLIPATTU. ABHINAV VISHNU,MALE,27.0,SC,MPP,Telephone,3441.0,4.0,3445.0,0.2199171528357183,0.2610570347103555,1566499.0,2019,7.0,False,0.2610892841985279,2094.0,,0.0,0.26108928419852784,7.0
Andhra Pradesh,Chittoor,A. HEMANTH,MALE,28.0,SC,IND,Air Conditioner,2089.0,5.0,2094.0,0.1336738804174148,0.1586802411272814,1566499.0,2019,8.0,False,0.1586998435737931,1863.0,,0.0,0.15869984357379308,8.0
Andhra Pradesh,Chittoor,P. RAMACHANDRAN,MALE,42.0,SC,IND,Stool,1854.0,9.0,1863.0,0.1189276214028863,0.1411754007736987,1566499.0,2019,9.0,False,0.1411928407726727,,,0.0,0.14119284077267266,9.0
Andhra Pradesh,Eluru,KOTAGIRI SRIDHAR,MALE,46.0,GENERAL,YSRCP,Ceiling Fan,672834.0,3975.0,676809.0,42.43449637919684,50.80347692931294,1594950.0,2019,1.0,True,50.96748832575383,510884.0,165925.0,0.0,50.96748832575383,1.0
Andhra Pradesh,Eluru,MAGANTTI VENKATESWARA RAO BABU,MALE,59.0,GENERAL,TDP,Bicycle,509549.0,1335.0,510884.0,32.03134894510799,38.34860870283214,1594950.0,2019,2.0,False,38.472411427469815,76827.0,,0.0,38.472411427469815,2.0
Andhra Pradesh,Eluru,PENTAPATI PULLARAO,MALE,71.0,GENERAL,JnP,Glass Tumbler,76481.0,346.0,76827.0,4.816890811624189,5.766883599432522,1594950.0,2019,3.0,False,5.785501117158148,23880.0,,0.0,5.785501117158148,3.0
Andhra Pradesh,Eluru,NOTA,,,,NOTA,,23861.0,19.0,23880.0,1.4972256183579422,1.7925101898349358,1594950.0,2019,4.0,False,1.7982970398133025,20378.0,,0.0,1.7982970398133025,4.0
Andhra Pradesh,Eluru,JETTI GURUNADHA RAO,MALE,55.0,GENERAL,INC,Hand,20284.0,94.0,20378.0,1.2776576068215304,1.529638720622124,1594950.0,2019,5.0,False,1.534576929535824,8412.0,,0.0,1.534576929535824,5.0
Andhra Pradesh,Eluru,CHINNAM RAMA KOTAYYA,MALE,58.0,GENERAL,BJP,Lotus,8317.0,95.0,8412.0,0.5274146524969434,0.6314319814443669,1594950.0,2019,6.0,False,0.6334704647784547,3010.0,,0.0,0.6334704647784547,6.0
Andhra Pradesh,Eluru,Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU),MALE,46.0,SC,IND,Helmet,3010.0,0.0,3010.0,0.1887206495501426,0.2259403547488759,1594950.0,2019,7.0,False,0.2266697692561993,2935.0,,0.0,0.22666976925619933,7.0
Andhra Pradesh,Eluru,CHINA VENKATA SURYANARAYANA JOSYULA,MALE,62.0,GENERAL,PPOI,FLUTE,2932.0,3.0,2935.0,0.184018307783943,0.2203106116903491,1594950.0,2019,8.0,False,0.2210218514175897,1879.0,,0.0,0.2210218514175897,8.0
Andhra Pradesh,Eluru,MATHE. BOBBY,MALE,29.0,SC,RPI(A),Sewing Machine,1871.0,8.0,1879.0,0.1178093357158531,0.1410438294262916,1594950.0,2019,9.0,False,0.1414991682499663,1648.0,,0.0,0.1414991682499663,9.0
Andhra Pradesh,Eluru,ALAGA. RAVI KUMAR,MALE,49.0,SC,IND,Apple,1648.0,0.0,1648.0,0.1033261230759585,0.123704220806029,1594950.0,2019,10.0,False,0.1241035813070486,1261.0,,0.0,0.12410358130704861,10.0
Andhra Pradesh,Eluru,V. SIVA RAMA KRISHNA,MALE,55.0,GENERAL,JAJGP,Mike,1261.0,0.0,1261.0,0.0790620395623687,0.0946547466240307,1594950.0,2019,11.0,False,0.094960325259823,,,0.0,0.094960325259823,11.0
