state,constituency,candidate,gender,age,category,party,party_symbol,total_votes_polled_in_the_constituency,valid_votes,evm_votes,postal_votes,votes,over_total_electors_in_constituency,over_total_votes_polled_in_constituency,over_total_valid_votes_polled_in_constituency,total_electors,year,rank,winner,vote_share,next_votes,margin_votes,raw_swing,sim_vote_share,sim_rank
Rajasthan,PALI,JEEVARAM RANA,MALE,45.0,ST,BHRTADVSIP,Hockey and ball,1355574.0,1339989.0,8325.0,22.0,8347.0,0.36,0.62,0.62,2348274.0,2024,7.0,False,0.6165416643891976,5593.0,,0.0,0.6165416643891974,7.0
Rajasthan,PALI,SHRAWAN RAM DEWASI,MALE,40.0,GENERAL,IND,Battery Torch,1355574.0,1339989.0,5585.0,8.0,5593.0,0.24,0.41,0.42,2348274.0,2024,8.0,False,0.413120585710888,2523.0,,0.0,0.41312058571088794,8.0
Rajasthan,PALI,MUKESH SAINI,MALE,30.0,GENERAL,IND,Bat,1355574.0,1339989.0,2471.0,52.0,2523.0,0.11,0.19,0.19,2348274.0,2024,9.0,False,0.1863585263272967,1586.0,,0.0,0.18635852632729666,9.0
Rajasthan,PALI,BASTIRAM,MALE,47.0,SC,IPGP,Pot,1355574.0,1339989.0,1570.0,16.0,1586.0,0.07,0.12,0.12,2348274.0,2024,10.0,False,0.1171480867043569,1345.0,,0.0,0.11714808670435688,10.0
Rajasthan,PALI,KESARAM,MALE,50.0,SC,IND,Almirah,1355574.0,1339989.0,1327.0,18.0,1345.0,0.06,0.1,0.1,2348274.0,2024,11.0,False,0.09934689572343,1345.0,,0.0,0.09934689572342999,11.0
Rajasthan,PALI,BHIYARAM,MALE,67.0,GENERAL,IND,Air conditioner,1355574.0,1339989.0,1335.0,10.0,1345.0,0.06,0.1,0.1,2348274.0,2024,12.0,False,0.09934689572343,1335.0,,0.0,0.09934689572342999,12.0
Rajasthan,PALI,ANAND KUMAR PARIHAR,MALE,60.0,SC,IND,Ship,1355574.0,1339989.0,1327.0,8.0,1335.0,0.06,0.1,0.1,2348274.0,2024,13.0,False,0.098608257093516,1288.0,,0.0,0.09860825709351599,13.0
Rajasthan,PALI,DEEPAK BAMNIYA,MALE,34.0,SC,IND,Auto- rickshaw,1355574.0,1339989.0,1256.0,32.0,1288.0,0.05,0.1,0.1,2348274.0,2024,14.0,False,0.0951366555329203,,,0.0,0.09513665553292029,14.0
Rajasthan,RAJSAMAND,MAHIMA KUMARI MEWAR,FEMALE,52.0,GENERAL,BJP,Lotus,1214423.0,1200719.0,775243.0,5960.0,781203.0,37.84,64.33,65.06,2064478.0,2024,1.0,True,64.39565421677808,388980.0,392223.0,0.0,64.39565421677808,1.0
Rajasthan,RAJSAMAND,DR. DAMODAR GURJAR,MALE,59.0,GENERAL,INC,Hand,1214423.0,1200719.0,385359.0,3621.0,388980.0,18.84,32.03,32.4,2064478.0,2024,2.0,False,32.06416459901247,12411.0,,0.0,32.06416459901247,2.0
