sr_no,party_type,abbreviation,party_symbol,party_name,year
206,U,BJJP,Gas cylinder,Bharatiya Jan Jagriti Party,2024
207,U,BJKD,"Bead necklace,Camera",Bharatiya Jan Kranti Dal (Democratic),2024
208,U,BJKVP,Grapes,Bajjikanchal Vikas Party,2024
209,U,BJNJGD,Bench,Bharat Jan Jagran Dal,2024
210,U,BJNP,Auto- rickshaw,Bhartiya Jan Nayak Party,2024
211,U,BJSAP,Telephone,Bhartiya Jan Samman Party,2024
212,U,BJVA,Coat,Bhartiya Jan Vikas Aaghadi,2024
213,U,BKLJP,Glass tumbler,Bharat Ki Lok Jimmedar Party,2024
214,U,BKP,Electric pole,Bahujan Kranti Party (Marxwad-Ambedkarwad),2024
215,U,BKPP,Kettle,Bharatiya Kisan Parivartan Party,2024
216,U,BKrD,"Cot,Ganna kisan",Bhartiya Krishak Dal,2024
217,U,BKVP,Ganna kisan,Bhartiya Kranti Vir Party,2024
218,U,BLFP,Scissors,Bahujana Left Party,2024
219,U,BLIP,Mixee,Blue India Party,2024
220,U,BLKSKTIP,Tiller,Bharatiya Lokshakti Party,2024
221,U,BLNDBHRTP,Gas cylinder,Buland Bharat Party,2024
222,U,BLokSP,Electric pole,Bharat Lok Sewak Party,2024
223,U,BLRP,"Bead necklace,Ganna kisan",Bhartiya Lokmat Rashtrwadi Party,2024
224,U,BMAP,Pot,Bharatiya Mulnivasi Aazad Party,2024
225,U,bmd,Computer,Dr. Bhimrao Ambedkar Dal,2024
226,U,BMF,Slate,Bharatiya Momin Front,2024
227,U,BMJP,Ganna kisan,Bharatiya Majdoor Janta Party,2024
228,U,BMUP,Cot,Bahujan Mukti Party,2024
229,U,BNARP,"CCTV Camera,Ganna kisan",Bharatiya Nyay-Adhikar Raksha Party,2024
230,U,BNGLRNNP,Spanner,Bengaluru Nava Nirmana Party,2024
231,U,BNGNBNRMS,Boat with man and sail,Bangali Nabanirman Sena,2024
232,U,BNJD,Coconut farm,Bharatiya National Janata Dal,2024
233,U,BNPA,Kettle,Bahujan National Party (Ambedkar),2024
234,U,BNRP,Glass tumbler,Bharatiya Nagrik Party,2024
235,U,bns,"Dish antenna,Ganna kisan",Bhartiya Navjawan Sena (Paksha),2024
236,U,BPKP,"Bat,Grapes,Pen nib with seven rays",Bharatiya Prajagala Kalyana Paksha,2024
