state,district,survey,survey_year,fertility_rate,electricity_pct,improved_sanitation_pct,lpg_pct,mobile_phone_pct,bank_account_pct,women_secondary_edu_pct,female_literacy_pct,male_literacy_pct,wealth_index_mean,urban_pct,household_count,person_count,state_key,district_key,district_panel_id,nfhs4_sdist_code,district_name_source
Assam,HAILAKANDI,NFHS-4,2016,,34.78507070693774,61.59058005517299,2.299232980122114,0.0,,,,,,7.817392132415188,65,,ASSAM,HAILAKANDI,ASSAM__HAILAKANDI__NFHS-4,,state_file_census_name
Assam,JORHAT,NFHS-4,2016,,36.27154496584387,79.7366178686428,13.238765808481771,4.320990082637387,,,,,,7.6374860687283315,279,,ASSAM,JORHAT,ASSAM__JORHAT__NFHS-4,,state_file_census_name
Assam,KAMRUP METROPOLITAN,NFHS-4,2016,,24.600828538656756,83.92438758820322,5.190977671723681,1.5389168267592692,,,,,,16.26854931145513,176,,ASSAM,KAMRUP METROPOLITAN,ASSAM__KAMRUP METROPOLITAN__NFHS-4,,state_file_census_name
Assam,KARBI ANGLONG,NFHS-4,2016,,58.02187899582005,81.87901730619836,29.238086411678328,6.862888974051589,,,,,,16.227149472421658,142,,ASSAM,KARBI ANGLONG,ASSAM__KARBI ANGLONG__NFHS-4,,state_file_census_name
Assam,KARIMGANJ,NFHS-4,2016,,16.89876815379792,79.17108832524258,15.35270241305046,2.8156508090356263,,,,,,12.090735827035337,214,,ASSAM,KARIMGANJ,ASSAM__KARIMGANJ__NFHS-4,,state_file_census_name
Assam,KOKRAJHAR,NFHS-4,2016,,24.680612231813537,50.62588854239674,4.026213511638758,0.4053150319510414,,,,,,5.269095415363538,229,,ASSAM,KOKRAJHAR,ASSAM__KOKRAJHAR__NFHS-4,,state_file_census_name
Assam,LAKHIMPUR,NFHS-4,2016,,95.0,95.0,85.0,10.0,,,,,,100.0,20,,ASSAM,LAKHIMPUR,ASSAM__LAKHIMPUR__NFHS-4,,state_file_census_name
Assam,MORIGAON,NFHS-4,2016,,2.966107163888228,52.17888439742402,1.0069994406142455,0.0,,,,,,1.788576217486938,251,,ASSAM,MORIGAON,ASSAM__MORIGAON__NFHS-4,,state_file_census_name
Assam,NAGAON,NFHS-4,2016,,25.20408441628689,72.09183822249818,8.843537841576538,2.5340135467832288,,,,,,0.0,79,,ASSAM,NAGAON,ASSAM__NAGAON__NFHS-4,,state_file_census_name
Assam,SIVASAGAR,NFHS-4,2016,,10.781967933143807,53.45649292585656,7.187978622095873,4.312787173257523,,,,,,15.094755106401328,53,,ASSAM,SIVASAGAR,ASSAM__SIVASAGAR__NFHS-4,,state_file_census_name
Assam,SONITPUR,NFHS-4,2016,,38.250390013447415,58.77505719892412,22.84080515147067,7.854942056224119,,,,,,22.489691947963884,420,,ASSAM,SONITPUR,ASSAM__SONITPUR__NFHS-4,,state_file_census_name
Assam,TINSUKIA,NFHS-4,2016,,40.5439332774961,66.4871097169117,14.086388317163228,3.772705757662515,,,,,,10.044347134868284,71,,ASSAM,TINSUKIA,ASSAM__TINSUKIA__NFHS-4,,state_file_census_name
Assam,Tinsukia,NFHS-5,2020,,100.0,80.34407916360445,40.172039581802224,80.34407916360445,59.827960418197776,,,,67619.53379388142,41.03223749081335,5,,ASSAM,TINSUKIA,ASSAM__TINSUKIA__NFHS-5,,
Bihar,Katihar,NFHS-4,2016,,97.61904761904762,92.85714285714288,47.6190476190476,11.904761904761903,,,,,,100.0,42,,BIHAR,KATIHAR,BIHAR__KATIHAR__NFHS-4,39.0,feature_match
Bihar,Gaya,NFHS-4,2016,,12.818021605184516,8.243882857782726,0.0,0.0,,,,,,17.393434220837033,244,,BIHAR,GAYA,BIHAR__GAYA__NFHS-4,40.0,feature_match
Bihar,nan,NFHS-4,2016,,0.0,1.1184047637644998,0.0,0.0,,,,,,0.0,88,,BIHAR,NAN,BIHAR__NAN__NFHS-4,41.0,unmapped
Bihar,Pashchim Champaran,NFHS-4,2016,,66.66666666666666,87.49999999999999,29.166666666666664,16.666666666666664,,,,,,100.0,24,,BIHAR,PASHCHIM CHAMPARAN,BIHAR__PASHCHIM CHAMPARAN__NFHS-4,42.0,feature_match
Bihar,ARARIA,NFHS-4,2016,,4.536780358788485,9.985423229366772,0.9118625117897996,0.0,,,,,,0.0,111,,BIHAR,ARARIA,BIHAR__ARARIA__NFHS-4,,state_file_census_name
Bihar,ARWAL,NFHS-4,2016,,15.212544145212435,21.887522201865753,8.666780000584087,1.338195811592793,,,,,,23.490483381195972,149,,BIHAR,ARWAL,BIHAR__ARWAL__NFHS-4,,state_file_census_name
Bihar,AURANGABAD,NFHS-4,2016,,25.39851504167509,10.733934086296452,0.0,0.0,,,,,,14.842298300718646,150,,BIHAR,AURANGABAD,BIHAR__AURANGABAD__NFHS-4,,state_file_census_name
Bihar,Araria,NFHS-5,2020,,57.537102260754395,57.537102260754395,36.30565339113158,42.462897739245605,78.76855113037719,,,,14748.915059905476,36.30565339113158,5,,BIHAR,ARARIA,BIHAR__ARARIA__NFHS-5,,
Bihar,BANKA,NFHS-4,2016,,11.8118449885705,11.45561966116474,6.048890079204321,3.7076081287605063,,,,,,0.0,295,,BIHAR,BANKA,BIHAR__BANKA__NFHS-4,,state_file_census_name
Bihar,BEGUSARAI,NFHS-4,2016,,4.914545651034213,11.198397091042445,0.0,0.3780419731564779,,,,,,0.0,268,,BIHAR,BEGUSARAI,BIHAR__BEGUSARAI__NFHS-4,,state_file_census_name
Bihar,BHAGALPUR,NFHS-4,2016,,8.370180809436864,6.536340338335601,0.0,0.0,,,,,,21.506696607159043,108,,BIHAR,BHAGALPUR,BIHAR__BHAGALPUR__NFHS-4,,state_file_census_name
Bihar,BHOJPUR,NFHS-4,2016,,19.169879603162336,10.269578751584476,3.8510920318441793,1.2836973439480597,,,,,,21.822854847117014,80,,BIHAR,BHOJPUR,BIHAR__BHOJPUR__NFHS-4,,state_file_census_name
Bihar,BUXAR,NFHS-4,2016,,1.2451613960884604,1.6710425580747228,0.410965343694159,0.410965343694159,,,,,,0.0,237,,BIHAR,BUXAR,BIHAR__BUXAR__NFHS-4,,state_file_census_name
Bihar,Bhagalpur,NFHS-5,2020,,0.0,0.0,0.0,0.0,100.0,,,,-65114.0,0.0,1,,BIHAR,BHAGALPUR,BIHAR__BHAGALPUR__NFHS-5,,
Bihar,DARBHANGA,NFHS-4,2016,,0.5303142115131095,2.648584743413492,0.0,0.0,,,,,,0.0,188,,BIHAR,DARBHANGA,BIHAR__DARBHANGA__NFHS-4,,state_file_census_name
Bihar,GAYA,NFHS-4,2016,,40.180290046998174,21.028043569709897,2.7272075838187315,3.403589134218436,,,,,,18.93868341119174,147,,BIHAR,GAYA,BIHAR__GAYA__NFHS-4,,state_file_census_name
Bihar,GOPALGANJ,NFHS-4,2016,,30.20417686606287,32.545815088888006,16.488479063807354,6.73469114176954,,,,,,10.576505442236565,168,,BIHAR,GOPALGANJ,BIHAR__GOPALGANJ__NFHS-4,,state_file_census_name
Bihar,Gopalganj,NFHS-5,2020,,100.0,100.0,0.0,0.0,100.0,,,,99356.0,0.0,1,,BIHAR,GOPALGANJ,BIHAR__GOPALGANJ__NFHS-5,,
